Type,Start,End,Duration,Distance,"Average Heart Rate","Max Heart Rate","Average Pace","Average Speed","Active Energy","Total Energy","Elevation Ascended","Elevation Descended",Weather Temperature,Weather Humidity
"Outdoor Running","2020-07-13 14:38","2020-07-13 14:57","0:19:02","2.011432204450015","135.5857142857143","177","0:09:28","6.33651755706858","151.70199999999988","228.8620000000002","20.94",,"18.888888888888914","80"
"Traditional Strength Training","2020-07-13 14:11","2020-07-13 14:38","0:26:18",,"96.2887029288703","152",,,"121.34200000000115","166.18800000000113",,,"18.33333333333337","79"
"Outdoor Running","2020-07-12 18:20","2020-07-12 18:45","0:24:21","2.6920579455639237","150.2190812720848","181","0:09:02","6.630146045378599","193.46600000000012","245.5780000000002","25.3",,"21.666666666666686","47"
"Traditional Strength Training","2020-07-12 17:51","2020-07-12 18:20","0:28:48",,"108.10671936758894","149",,,"148.1380000000002","197.0030000000001",,,"22.222222222222285","46"
"Outdoor Running","2020-07-09 14:21","2020-07-09 14:42","0:21:09","2.505817945779767","151.20098039215685","183","0:08:26","7.107836656541382","172.49799999999962","229.8449999999998","23.73",,"14.444444444444457","84"
"Traditional Strength Training","2020-07-09 13:57","2020-07-09 14:21","0:23:53",,"103.40639269406392","135",,,"113.49100000000107","154.28200000000115",,,"14.444444444444457","83"
"Outdoor Running","2020-07-07 14:23","2020-07-07 14:50","0:26:23","2.522146310882643","127.11228070175439","175","0:10:27","5.73573070063946","185.7359999999997","249.7749999999997","23.86",,"13.333333333333371","87"
"Traditional Strength Training","2020-07-07 14:00","2020-07-07 14:19","0:19:09",,"89.48101265822785","112",,,"85.8500000000006","118.03200000000092",,,"13.333333333333371","89"
"Outdoor Running","2020-07-06 20:52","2020-07-06 21:13","0:21:38","2.7642485840599984","145.09139784946237","179","0:07:49","7.661360347452701","188.1110000000003","282.4880000000005","23.73",,"13.888888888888914","70"
"Outdoor Running","2020-07-02 14:33","2020-07-02 14:56","0:22:51","2.5530530202523805","145.8548387096774","181","0:08:57","6.703090669445991","182.7579999999996","255.44699999999975","25.900000000000002",,"16.666666666666686","83"
"Traditional Strength Training","2020-07-02 14:09","2020-07-02 14:33","0:24:51",,"91.17567567567568","139",,,"116.48000000000104","158.69700000000108",,,"16.111111111111143","86"
"Outdoor Running","2020-07-01 14:53","2020-07-01 15:14","0:20:47","2.4715334780672564","143.77685950413223","183","0:08:24","7.1348516076755875","172.78800000000004","215.28000000000026","20.42",,"18.33333333333337","72"
"Traditional Strength Training","2020-07-01 14:24","2020-07-01 14:53","0:29:08",,"89.20143884892086","117",,,"130.669000000001","179.90600000000083",,,"18.33333333333337","75"
"Outdoor Running","2020-06-30 15:02","2020-06-30 15:22","0:20:28","2.4917556008500976","145.60425531914893","182","0:08:12","7.302996300879358","176.90400000000002","279.9810000000003","26.150000000000002",,"18.33333333333337","58"
"Traditional Strength Training","2020-06-30 14:36","2020-06-30 15:02","0:26:19",,"82.39837398373983","114",,,"116.84700000000137","160.24700000000138",,,"18.888888888888914","57"
"Outdoor Running","2020-06-29 14:52","2020-06-29 15:18","0:26:08","2.6926191276651807","134.30851063829786","175","0:09:42","6.178592590007338","214.82099999999957","330.87999999999954","51.61",,"13.888888888888914","79"
"Traditional Strength Training","2020-06-29 14:24","2020-06-29 14:52","0:28:25",,"82.70566037735848","109",,,"126.07100000000142","174.5840000000013",,,"14.444444444444457","77"
"Outdoor Running","2020-06-28 15:33","2020-06-28 15:50","0:16:37","2.030452982593328","144.56476683937825","175","0:08:11","7.330902855000045","152.64500000000007","202.5600000000003","28.16",,"16.111111111111143","63"
"Traditional Strength Training","2020-06-28 15:03","2020-06-28 15:33","0:30:17",,"96.78867924528302","122",,,"131.90600000000157","183.57300000000134",,,"16.111111111111143","69"
"Outdoor Running","2020-06-24 14:27","2020-06-24 15:01","0:21:40","2.5397097372189164","149.3956043956044","183","0:08:32","7.027686727419852","197.842","267.6120000000002","24.88",,"28.33333333333337","47"
"Traditional Strength Training","2020-06-24 13:57","2020-06-24 14:27","0:29:28",,"91.02666666666667","123",,,"131.0320000000012","180.91300000000103",,,"27.77777777777783","50"
"Outdoor Running","2020-06-23 14:56","2020-06-23 15:13","0:17:30","2.0853950788513758","144.0048309178744","176","0:08:23","7.14426221781906","146.57900000000038","177.51200000000065","19.990000000000002",,,
"Traditional Strength Training","2020-06-23 14:25","2020-06-23 14:56","0:30:13",,"88.2879746835443","120",,,"139.77200000000116","190.34900000000096",,,"22.222222222222285","63"
"Yoga","2020-06-21 17:33","2020-06-21 18:00","0:26:31",,"77.19551282051282","108",,,"96.66699999999994","157.2059999999999",,,"18.888888888888914","55"
"Hiking","2020-06-20 13:01","2020-06-20 16:45","3:44:27","9.296595870813356","147.50600436681222","188","0:24:08","2.4850016340255388","1103.8919999999944","1517.8850000000352","923.48",,"16.111111111111143","66"
"Outdoor Running","2020-06-19 15:01","2020-06-19 15:19","0:18:01","2.477215973518323","158.21319796954316","187","0:07:16","8.245495809433566","185.7419999999999","245.2460000000002","21.05",,"13.888888888888914","84"
"Traditional Strength Training","2020-06-19 14:27","2020-06-19 15:01","0:33:31",,"94.6470588235294","139",,,"153.2480000000007","209.29100000000037",,,"14.444444444444457","83"
"Outdoor Running","2020-06-18 20:37","2020-06-18 20:56","0:18:46","2.437978372973021","147.93413173652695","179","0:07:42","7.7905472433146725","168.34599999999992","201.34400000000022","23.09",,"13.333333333333371","98"
"Traditional Strength Training","2020-06-18 14:32","2020-06-18 14:58","0:25:48",,"88.3780487804878","117",,,"114.21100000000129","177.67900000000128",,,"13.333333333333371","99"
"Outdoor Running","2020-06-16 14:47","2020-06-16 15:08","0:21:03","2.505154069853015","148.10162601626016","175","0:08:24","7.139090500552932","182.3350000000001","219.6330000000003","18.42",,"19.444444444444457","79"
"Traditional Strength Training","2020-06-16 14:20","2020-06-16 14:47","0:26:24",,"94.89781021897811","122",,,"116.46500000000127","161.44300000000123",,,"19.444444444444457","78"
"Outdoor Running","2020-06-15 19:28","2020-06-15 19:49","0:21:51","2.4710945059894582","143.45106382978724","175","0:08:50","6.784578699196451","183.5019999999999","242.54400000000007","21.71",,"20.000000000000057","74"
"Core Training","2020-06-15 19:17","2020-06-15 19:28","0:10:29",,"98.28571428571429","119",,,"47.23099999999997","65.01299999999999",,,"20.000000000000057","73"
"Traditional Strength Training","2020-06-15 12:23","2020-06-15 12:51","0:28:07",,"81.5037037037037","106",,,"122.99900000000156","192.09800000000146",,,"21.666666666666686","68"
"Outdoor Running","2020-06-13 15:06","2020-06-13 15:26","0:20:11","2.4597585434732028","157.08050847457628","186","0:08:12","7.310934332366102","180.8479999999998","235.81500000000003","26.57",,"22.222222222222285","55"
"Traditional Strength Training","2020-06-13 14:40","2020-06-13 15:06","0:25:22",,"108.1004366812227","147",,,"130.12500000000097","173.73000000000098",,,"22.222222222222285","52"
"Traditional Strength Training","2020-06-11 14:36","2020-06-11 15:15","0:39:26",,"109.48958333333333","154",,,"221.9099999999988","309.2219999999982",,,"15.5555555555556","70"
"Outdoor Running","2020-06-10 14:30","2020-06-10 14:51","0:21:09","2.439082812441513","147.01639344262296","181","0:08:40","6.918425965544243","185.23400000000004","245.81700000000023","31.32",,"14.444444444444457","75"
"Traditional Strength Training","2020-06-10 14:06","2020-06-10 14:30","0:24:22",,"100.56031128404669","136",,,"113.64800000000076","155.06000000000083",,,"14.444444444444457","73"
"Outdoor Running","2020-06-08 14:03","2020-06-08 14:26","0:23:04","2.5000078405356034","135.13229571984436","177","0:09:13","6.498842376926568","184.94300000000018","245.1350000000003","25.8",,,
"Traditional Strength Training","2020-06-08 13:31","2020-06-08 14:03","0:32:08",,"85.92134831460675","111",,,"141.92100000000156","195.96800000000127",,,"13.888888888888914","67"
"Outdoor Running","2020-06-07 16:58","2020-06-07 17:15","0:17:12","2.6709156583854927","170.53020134228188","194","0:06:26","9.314118878622738","198.06400000000028","284.58000000000055","26.69",,"15.5555555555556","71"
"Core Training","2020-06-07 16:46","2020-06-07 16:58","0:12:16",,"98.91304347826087","141",,,"61.49400000000004","82.06300000000014",,,"15.000000000000057","73"
"Outdoor Running","2020-06-06 17:44","2020-06-06 18:06","0:21:56","2.7237391498996875","156.15352697095435","187","0:08:03","7.44794537623138","192.46700000000018","259.56900000000036","26.75",,,
"Traditional Strength Training","2020-06-06 17:18","2020-06-06 17:44","0:25:57",,"102.78048780487805","153",,,"135.69500000000065","180.58400000000066",,,"15.000000000000057","63"
"Outdoor Running","2020-06-04 18:11","2020-06-04 18:29","0:18:03","2.0169499387280085","142.42079207920793","179","0:08:56","6.703928236895278","142.39499999999984","196.2490000000001","24.48",,,
"Traditional Strength Training","2020-06-04 17:35","2020-06-04 18:11","0:36:19",,"99.61721068249258","138",,,"172.35200000000077","234.6370000000003",,,"13.333333333333371","73"
"Outdoor Walking","2020-06-03 20:32","2020-06-03 20:49","0:16:50","1.9823878595083952","142.51764705882354","183","0:08:29","7.059548368784356","143.5580000000001","197.32400000000035","20.68",,,
"Outdoor Running","2020-06-02 14:13","2020-06-02 14:33","0:19:57","2.4378892984832636","152.84322033898306","185","0:08:11","7.331588068315337","173.70300000000006","243.77000000000032","24.05",,,
"Traditional Strength Training","2020-06-02 13:40","2020-06-02 14:13","0:32:30",,"96.46666666666667","151",,,"144.19000000000096","199.49700000000067",,,"24.444444444444457","35"
"Outdoor Running","2020-06-01 14:12","2020-06-01 14:34","0:21:26","2.7244709611233637","151.9090909090909","180","0:07:52","7.62247187785195","195.44499999999996","257.21700000000016","23.63",,"23.888888888888914","34"
"Traditional Strength Training","2020-06-01 13:38","2020-06-01 14:12","0:33:54",,"88.73926380368098","118",,,"153.78900000000104","210.9990000000007",,,"23.888888888888914","36"
"Outdoor Running","2020-05-30 13:02","2020-05-30 13:20","0:17:53","2.443335901129525","166.63033175355451","185","0:07:19","8.192238445001498","182.77700000000002","214.6000000000003","24.88",,"22.77777777777783","37"
"Traditional Strength Training","2020-05-30 12:29","2020-05-30 13:02","0:33:22",,"110.87762237762237","148",,,"190.25599999999997","247.4539999999996",,,"21.666666666666686","38"
"Outdoor Running","2020-05-28 15:05","2020-05-28 15:27","0:21:39","2.701186483308207","157.9294117647059","181","0:08:01","7.481808932217548","196.87099999999984","272.588","24.34",,"24.444444444444457","39"
"Traditional Strength Training","2020-05-28 14:19","2020-05-28 15:05","0:45:48",,"95.53911205073996","129",,,"203.66399999999925","281.90399999999835",,,"23.888888888888914","41"
"Outdoor Running","2020-05-26 14:52","2020-05-26 15:17","0:25:44","2.5277354496908373","141.16776315789474","181","0:10:10","5.892082776761243","193.60999999999953","283.1909999999995","37.75",,"18.33333333333337","67"
"Traditional Strength Training","2020-05-26 14:25","2020-05-26 14:52","0:27:08",,"98.74712643678161","127",,,"118.08900000000149","164.74500000000143",,,"18.888888888888914","61"
"Outdoor Running","2020-05-25 20:35","2020-05-25 20:58","0:23:22","2.737526634665672","144.23547378723748","156.2493476022888","0:08:32","7.026788398030492","189.33199999999994","238.90899999999988","25.5",,"17.222222222222285","45"
"Traditional Strength Training","2020-05-25 20:04","2020-05-25 20:35","0:31:13",,"92.70863934877302","96.45562898277082",,,"137.9529999999999","200.5079999999998",,,"18.888888888888914","40"
"Outdoor Running","2020-05-24 18:07","2020-05-24 18:28","0:20:56","2.7053854736713694","166.81534595409613","170.951968503937","0:07:44","7.749429602464617","187.68200000000002","224.38599999999997","23.21",,"17.77777777777783","57"
"Core Training","2020-05-24 17:58","2020-05-24 18:07","0:08:58",,"115.96923292675415","115.96923292675415",,,"54.827000000000005","78.58099999999997",,,"17.222222222222285","59"
"Outdoor Walking","2020-05-23 17:15","2020-05-23 17:34","0:18:45","2.0011714564971625","147.16384910495898","148.31717679518036","0:09:22","6.398922382772141","159.12699999999998","213.0399999999999","21.42",,"15.5555555555556","51"
"Traditional Strength Training","2020-05-23 16:47","2020-05-23 17:15","0:27:42",,"115.67884909376059","123.10858462047894",,,"167.50299999999993","223.62199999999984",,,"15.5555555555556","51"
"Outdoor Running","2020-05-21 20:51","2020-05-21 21:16","0:24:11","2.7254250281802377","150.1638816088048","156.07341939755045","0:08:52","6.761397035206151","205.30599999999995","280.7189999999999","26.6",,"18.33333333333337","55"
"Traditional Strength Training","2020-05-21 20:08","2020-05-21 20:51","0:43:20",,"109.21624313583183","115.31779869984311",,,"230.97499999999982","312.7979999999997",,,"18.888888888888914","57"
"Traditional Strength Training","2020-05-20 18:37","2020-05-20 19:03","0:26:23",,"113.9370443971984","114.19477664517392",,,"150.19199999999987","217.1069999999998",,,"26.111111111111143","40"
"Outdoor Running","2020-05-19 14:57","2020-05-19 15:19","0:22:09","2.7558420710116627","155.9968470475842","169.1040462427746","0:08:02","7.461699855694111","205.73","262.75499999999994","23.6",,"20.5555555555556","63"
"Traditional Strength Training","2020-05-19 14:28","2020-05-19 14:57","0:28:51",,"91.20571799828672","93.58957952468005",,,"126.3679999999999","183.86699999999982",,,"20.5555555555556","62"
"Outdoor Running","2020-05-16 14:35","2020-05-16 14:55","0:19:59","2.725018498326652","167.09129702503213","167.8833877008579","0:07:20","8.181739506137834","197.99799999999993","270.3319999999999","29.44",,"15.5555555555556","48"
"Traditional Strength Training","2020-05-16 14:05","2020-05-16 14:35","0:30:24",,"122.13426232498875","128.7065217391304",,,"189.11499999999995","250.46199999999988",,,"15.000000000000057","49"
"Traditional Strength Training","2020-05-14 13:11","2020-05-14 13:41","0:30:07",,"84.66455652243758","92.78054424287303",,,"134.18800000000005","209.0740000000001",,,"13.888888888888914","39"
"Outdoor Running","2020-05-13 17:36","2020-05-13 17:57","0:20:58","2.5085780757847242","143.29220605459972","153.24109126026073","0:08:21","7.174277373719229","191.55800000000002","246.709","25.48",,"11.111111111111143","40"
"Traditional Strength Training","2020-05-13 14:01","2020-05-13 14:37","0:36:29",,"96.42492638608589","99.18726809198068",,,"161.57800000000012","240.46500000000012",,,"12.222222222222285","38"
"Outdoor Running","2020-05-12 18:39","2020-05-12 18:59","0:20:25","2.677162835082505","149.87299603282773","151.58349298560043","0:07:37","7.865910063115892","211.417","268.571","31.69",,"11.111111111111143","63"
"Traditional Strength Training","2020-05-12 13:52","2020-05-12 14:21","0:28:21",,"89.96818745890751","93.55709165466942",,,"123.96400000000003","194.13500000000005",,,"10.5555555555556","63"
"Core Training","2020-05-11 14:06","2020-05-11 14:16","0:10:19",,"94.04669358306656","94.04669358306656",,,"46.165000000000035","85.57000000000005",,,"11.111111111111143","46"
"Traditional Strength Training","2020-05-11 13:32","2020-05-11 14:06","0:34:13",,"94.45562962765767","96.47749702790934",,,"160.06800000000013","228.2490000000002",,,"10.000000000000057","51"
"Core Training","2020-05-09 21:36","2020-05-09 21:45","0:08:28",,"109.21149211695365","109.21149211695365",,,"38.96100000000001","75.03700000000002",,,"16.666666666666686","64"
"Outdoor Walking","2020-05-09 21:08","2020-05-09 21:36","0:28:33","2.55643043103721","114.54559663006047","116.79822219525512","0:11:10","5.3713916542329425","156.59700000000004","215.2030000000001","24.37",,"17.222222222222285","58"
"Outdoor Walking","2020-05-08 19:06","2020-05-08 19:27","0:20:40","2.731762816573959","154.03177677958698","157.0832116788321","0:07:34","7.925771813157148","204.46400000000006","262.27400000000006","22.400000000000002",,"20.000000000000057","53"
"Core Training","2020-05-07 20:41","2020-05-07 20:51","0:09:32",,"107.66103348273136","107.66103348273136",,,"47.69600000000001","83.75100000000003",,,"17.77777777777783","63"
"Outdoor Walking","2020-05-07 20:16","2020-05-07 20:41","0:25:34","2.490624413897749","123.47377109967597","125.09321012454801","0:10:15","5.844774914460213","182.93999999999994","236.97799999999998","25.11",,"17.77777777777783","62"
"Outdoor Running","2020-05-06 13:44","2020-05-06 14:05","0:20:14","2.4755831835339777","150.04866722506904","154.2456395348838","0:08:10","7.339085779354344","189.809","257.447","26.22",,"16.111111111111143","42"
"Traditional Strength Training","2020-05-06 13:18","2020-05-06 13:44","0:26:38",,"85.52830745511277","90.9110386191855",,,"121.98500000000006","176.3840000000001",,,"16.111111111111143","42"
"Outdoor Running","2020-05-05 14:15","2020-05-05 14:34","0:19:35","2.469911204541102","149.5555780808785","153.6153846153846","0:07:55","7.565075130892225","177.40800000000002","212.66600000000005","27.55",,"14.444444444444457","48"
"Traditional Strength Training","2020-05-05 13:44","2020-05-05 14:15","0:30:08",,"91.15426088373745","97.40420094739466",,,"135.2890000000001","195.71300000000016",,,"14.444444444444457","48"
"Traditional Strength Training","2020-05-04 20:34","2020-05-04 21:01","0:26:37",,"96.35270172771105","100.32130487619627",,,"121.76300000000009","190.48500000000013",,,"11.666666666666686","66"
"Outdoor Running","2020-05-04 13:14","2020-05-04 13:33","0:19:32","2.6147525186222045","158.0421718462284","165.3664596273293","0:07:28","8.027726789721909","193.62800000000004","250.51100000000008","22.68",,"17.222222222222285","48"
"Outdoor Walking","2020-05-02 19:01","2020-05-02 19:24","0:22:48","1.3950656865360216","110.32911145845559","125.28605388272571","0:16:21","3.6696074247409247","118.43000000000009","180.4620000000001","28.18",,"13.333333333333371","61"
"Outdoor Walking","2020-04-30 19:56","2020-04-30 20:17","0:20:26","2.484726566822734","136.8230998280017","143.5161923141964","0:08:13","7.295038817978615","179.66500000000005","239.69700000000006","24.21",,"8.888888888888914","81"
"Traditional Strength Training","2020-04-30 19:46","2020-04-30 19:56","0:10:21",,"90.18588851839966","90.18588851839966",,,"49.30700000000003","76.17400000000005",,,"8.888888888888914","80"
"Outdoor Walking","2020-04-29 20:13","2020-04-29 20:34","0:21:17","2.5161143695488573","138.67668087098917","146.7352480153714","0:08:27","7.089430667681576","197.282","258.653","35.26",,"10.5555555555556","62"
"Traditional Strength Training","2020-04-29 16:56","2020-04-29 17:19","0:22:29",,"81.48109312499645","84.0495760816816",,,"102.58500000000011","161.87400000000014",,,"11.111111111111143","83"
"Core Training","2020-04-28 19:40","2020-04-28 19:49","0:09:10",,"96.05356871853407","96.05356871853407",,,"41.674000000000035","74.60800000000005",,,"7.222222222222285","90"
"Outdoor Running","2020-04-28 14:05","2020-04-28 14:25","0:19:53","2.6705359204914423","163.42533398210696","165.85467972779153","0:07:26","8.055082754850357","215.25699999999995","250.43599999999998","23.56",,"9.444444444444457","73"
"Traditional Strength Training","2020-04-27 14:57","2020-04-27 15:27","0:29:34",,"89.75456406913122","103.73652959530571",,,"140.56300000000007","212.67300000000012",,,"15.000000000000057","44"
"Outdoor Walking","2020-04-27 14:11","2020-04-27 14:31","0:20:33","2.4908058394556867","144.29577687609486","154.52941462820976","0:08:15","7.2695969737619315","182.79199999999997","244.58999999999997","20.990000000000002",,"15.000000000000057","44"
"Core Training","2020-04-26 20:53","2020-04-26 21:01","0:07:19",,"88.41002949852508","88.41002949852508",,,"32.38100000000003","60.338000000000044",,,"10.5555555555556","72"
"Outdoor Walking","2020-04-26 16:40","2020-04-26 17:01","0:20:51","2.4807397137554363","142.75634683524774","163.34359549533056","0:08:24","7.13765002314007","181.60399999999993","218.80999999999995","24.400000000000002",,"14.444444444444457","71"
"Traditional Strength Training","2020-04-25 17:28","2020-04-25 18:05","0:37:15",,"112.02718165074391","116.74504631357523",,,"220.29400000000018","303.1820000000003",,,"19.444444444444457","43"
"Outdoor Running","2020-04-25 16:30","2020-04-25 16:49","0:18:45","2.72164284436144","169.58647941061372","171.59304511278202","0:06:53","8.705508331507133","201.84600000000006","258.43100000000004","23.11",,"19.444444444444457","44"
"Core Training","2020-04-24 18:56","2020-04-24 19:05","0:08:59",,"118.93752187138281","118.93752187138281",,,"56.75900000000004","95.35100000000004",,,"19.444444444444457","39"
